household_id;municipality_id;grid_id;HLA;HSC;HSI;age;FAM;SEX;AG2;EMP
059780004004-0;059780004004;100mN31687E41561;S;NA;1;70;M;F;6574;UEP
059780004004-1;059780004004;100mN31689E41562;MC;MIX;3;75;M;M;75XX;NEP
059780004004-1;059780004004;100mN31689E41562;MC;MIX;3;48;M;F;4049;NEP
059780004004-1;059780004004;100mN31689E41562;MC;MIX;3;53;M;M;5064;EMP
059780004004-2;059780004004;100mN31700E41569;MC;OS;3;86;M;M;75XX;NEP
059780004004-2;059780004004;100mN31700E41569;MC;OS;3;85;M;F;75XX;EMP
059780004004-2;059780004004;100mN31700E41569;MC;OS;3;69;M;F;6574;EMP
059780004004-3;059780004004;100mN31705E41529;MC;NA;2;55;M;M;5064;EMP
059780004004-3;059780004004;100mN31705E41529;MC;NA;2;48;M;F;4049;NEP
059780004004-4;059780004004;100mN31702E41587;NA;NA;3;44;M;M;4049;NEP
059780004004-4;059780004004;100mN31702E41587;NA;NA;3;62;D;M;5064;EMP
059780004004-4;059780004004;100mN31702E41587;NA;NA;3;45;M;M;4049;EMP
059780004004-5;059780004004;100mN31705E41587;PO;OS;3;79;S;F;75XX;NEP
059780004004-5;059780004004;100mN31705E41587;PO;OS;3;82;S;F;75XX;UEP
059780004004-5;059780004004;100mN31705E41587;PO;OS;3;67;M;M;6574;EMP
059780004004-6;059780004004;100mN31705E41587;S;NA;1;78;M;M;75XX;NEP
059780004004-7;059780004004;100mN31698E41540;SF;NA;2;16;S;F;1517;NEP
059780004004-7;059780004004;100mN31698E41540;SF;NA;2;0;S;F;0003;NEP
059780004004-8;059780004004;100mN31705E41587;S;NA;1;55;S;M;5064;EMP
059780004004-9;059780004004;100mN31699E41540;S;NA;1;62;D;F;5064;EMP
059780004004-10;059780004004;100mN31693E41523;MC;NA;4;52;M;F;5064;EMP
059780004004-10;059780004004;100mN31693E41523;MC;NA;4;52;M;M;5064;NEP
059780004004-10;059780004004;100mN31693E41523;MC;NA;4;16;S;M;1517;NEP
059780004004-10;059780004004;100mN31693E41523;MC;NA;4;10;S;F;0614;NEP
059780004004-11;059780004004;100mN31705E41578;MC;MIX;2;72;M;M;6574;NEP
059780004004-11;059780004004;100mN31705E41578;MC;MIX;2;25;S;M;2529;EMP
059780004004-12;059780004004;100mN31697E41586;MC;NA;2;42;M;F;4049;NEP
059780004004-12;059780004004;100mN31697E41586;MC;NA;2;44;M;M;4049;EMP
059780004004-13;059780004004;100mN31699E41543;MC;NA;2;33;M;M;3039;NEP
059780004004-13;059780004004;100mN31699E41543;MC;NA;2;26;M;F;2529;EMP
059780004004-14;059780004004;100mN31702E41585;MC;NA;4;42;M;F;4049;EMP
059780004004-14;059780004004;100mN31702E41585;MC;NA;4;47;M;M;4049;EMP
059780004004-14;059780004004;100mN31702E41585;MC;NA;4;15;S;F;1517;EMP
059780004004-14;059780004004;100mN31702E41585;MC;NA;4;21;S;M;1824;EMP
059780004004-15;059780004004;100mN31701E41544;MC;MIX;2;84;M;F;75XX;NEP
059780004004-15;059780004004;100mN31701E41544;MC;MIX;2;18;S;F;1824;NEP
059780004004-16;059780004004;100mN31691E41567;S;NA;1;48;M;F;4049;EMP
059780004004-17;059780004004;100mN31705E41587;MC;OS;2;69;M;F;6574;NEP
059780004004-17;059780004004;100mN31705E41587;MC;OS;2;69;M;M;6574;NEP
059780004004-18;059780004004;100mN31688E41536;MC;NA;3;30;M;M;3039;NEP
059780004004-18;059780004004;100mN31688E41536;MC;NA;3;18;M;F;1824;UEP
059780004004-18;059780004004;100mN31688E41536;MC;NA;3;12;S;F;0614;NEP
059780004004-19;059780004004;100mN31700E41567;MC;NA;4;59;M;M;5064;EMP
059780004004-19;059780004004;100mN31700E41567;MC;NA;4;56;M;F;5064;NEP
059780004004-19;059780004004;100mN31700E41567;MC;NA;4;25;M;F;2529;UEP
059780004004-19;059780004004;100mN31700E41567;MC;NA;4;4;S;M;0305;NEP
059780004004-20;059780004004;100mN31705E41587;MC;OS;5;68;M;F;6574;EMP
059780004004-20;059780004004;100mN31705E41587;MC;OS;5;69;M;M;6574;EMP
059780004004-20;059780004004;100mN31705E41587;MC;OS;5;72;M;M;6574;NEP
059780004004-20;059780004004;100mN31705E41587;MC;OS;5;67;D;F;6574;NEP
059780004004-20;059780004004;100mN31705E41587;MC;OS;5;89;M;F;75XX;EMP
059780004004-21;059780004004;100mN31708E41534;MC;NA;2;30;M;M;3039;EMP
059780004004-21;059780004004;100mN31708E41534;MC;NA;2;21;M;F;1824;NEP
059780004004-22;059780004004;100mN31705E41587;MC;NA;2;45;M;F;4049;EMP
059780004004-22;059780004004;100mN31705E41587;MC;NA;2;43;M;M;4049;EMP
059780004004-23;059780004004;100mN31736E41590;MC;OS;4;79;M;M;75XX;NEP
059780004004-23;059780004004;100mN31736E41590;MC;OS;4;76;M;F;75XX;EMP
059780004004-23;059780004004;100mN31736E41590;MC;OS;4;83;S;F;75XX;NEP
059780004004-23;059780004004;100mN31736E41590;MC;OS;4;67;M;F;6574;EMP
059780004004-24;059780004004;100mN31725E41595;S;NA;1;63;D;M;5064;EMP
059780004004-25;059780004004;100mN31695E41524;SF;MIX;2;78;D;F;75XX;NEP
059780004004-25;059780004004;100mN31695E41524;SF;MIX;2;19;M;F;1824;EMP
059780004004-26;059780004004;100mN31707E41545;S;OS;1;36;M;M;3039;EMP
059780004004-27;059780004004;100mN31685E41561;S;NA;1;62;D;M;5064;EMP
059780004004-28;059780004004;100mN31695E41566;MC;NA;3;62;M;M;5064;NEP
059780004004-28;059780004004;100mN31695E41566;MC;NA;3;54;M;F;5064;NEP
059780004004-28;059780004004;100mN31695E41566;MC;NA;3;46;M;F;4049;NEP
059780004004-29;059780004004;100mN31691E41587;MC;OS;2;69;M;M;6574;NEP
059780004004-29;059780004004;100mN31691E41587;MC;OS;2;77;M;F;75XX;EMP
059780004004-30;059780004004;100mN31697E41524;S;NA;1;28;S;M;2529;EMP
059780004004-31;059780004004;100mN31707E41583;MC;NA;4;62;M;F;5064;EMP
059780004004-31;059780004004;100mN31707E41583;MC;NA;4;16;S;M;1517;EMP
059780004004-31;059780004004;100mN31707E41583;MC;NA;4;16;S;M;1517;NEP
059780004004-31;059780004004;100mN31707E41583;MC;NA;4;11;S;F;0614;NEP
059780004004-32;059780004004;100mN31692E41586;S;OS;1;19;M;M;1824;EMP
059780004004-33;059780004004;100mN31731E41578;S;NA;1;56;M;M;5064;NEP
059780004004-34;059780004004;100mN31690E41567;S;NA;1;52;M;M;5064;EMP
059780004004-35;059780004004;100mN31707E41547;MC;NA;4;63;M;F;5064;NEP
059780004004-35;059780004004;100mN31707E41547;MC;NA;4;40;S;M;4049;NEP
059780004004-35;059780004004;100mN31707E41547;MC;NA;4;10;S;M;0614;NEP
059780004004-35;059780004004;100mN31707E41547;MC;NA;4;8;S;F;0614;NEP
059780004004-36;059780004004;100mN31693E41575;S;OS;1;40;M;F;4049;UEP
059780004004-37;059780004004;100mN31725E41595;S;NA;1;42;M;F;4049;NEP
059780004004-38;059780004004;100mN31697E41571;PO;NA;3;63;S;M;5064;EMP
059780004004-38;059780004004;100mN31697E41571;PO;NA;3;62;S;F;5064;NEP
059780004004-38;059780004004;100mN31697E41571;PO;NA;3;9;S;M;0614;NEP
059780004004-39;059780004004;100mN31694E41566;SM;MIX;4;84;M;F;75XX;EMP
059780004004-39;059780004004;100mN31694E41566;SM;MIX;4;47;S;M;4049;NEP
059780004004-39;059780004004;100mN31694E41566;SM;MIX;4;1;S;M;0003;NEP
059780004004-39;059780004004;100mN31694E41566;SM;MIX;4;23;D;M;1824;EMP
059780004004-40;059780004004;100mN31695E41588;SF;NA;2;63;S;F;5064;NEP
059780004004-40;059780004004;100mN31695E41588;SF;NA;2;16;S;F;1517;EMP
059780004004-41;059780004004;100mN31692E41586;SF;NA;2;59;W;F;5064;EMP
059780004004-41;059780004004;100mN31692E41586;SF;NA;2;18;W;F;1824;EMP
059780004004-42;059780004004;100mN31708E41597;S;NA;1;42;S;F;4049;NEP
059780004004-43;059780004004;100mN31688E41542;MC;NA;4;52;M;M;5064;EMP
059780004004-43;059780004004;100mN31688E41542;MC;NA;4;43;M;F;4049;NEP
059780004004-43;059780004004;100mN31688E41542;MC;NA;4;16;S;F;1517;UEP
059780004004-43;059780004004;100mN31688E41542;MC;NA;4;7;S;F;0614;NEP
059780004004-44;059780004004;100mN31697E41540;S;OS;1;60;S;F;5064;NEP
059780004004-45;059780004004;100mN31693E41544;SF;NA;5;67;D;F;6574;NEP
059780004004-45;059780004004;100mN31693E41544;SF;NA;5;48;S;F;4049;NEP
059780004004-45;059780004004;100mN31693E41544;SF;NA;5;16;S;F;1517;EMP
059780004004-45;059780004004;100mN31693E41544;SF;NA;5;51;M;M;5064;UEP
059780004004-45;059780004004;100mN31693E41544;SF;NA;5;26;M;M;2529;NEP
059780004004-46;059780004004;100mN31702E41585;S;NA;1;53;M;F;5064;EMP
059780004004-47;059780004004;100mN31692E41571;MC;NA;2;32;M;F;3039;NEP
059780004004-47;059780004004;100mN31692E41571;MC;NA;2;38;M;M;3039;NEP
059780004004-48;059780004004;100mN31685E41576;MC;OS;2;85;M;M;75XX;EMP
059780004004-48;059780004004;100mN31685E41576;MC;OS;2;66;M;F;6574;EMP
059780004004-49;059780004004;100mN31725E41594;S;OS;1;38;S;M;3039;EMP
059780004004-50;059780004004;100mN31692E41586;S;NA;1;22;M;F;1824;NEP
059780004004-51;059780004004;100mN31702E41577;S;NA;1;61;S;F;5064;EMP
059780004004-52;059780004004;100mN31696E41568;SF;NA;6;42;W;F;4049;NEP
059780004004-52;059780004004;100mN31696E41568;SF;NA;6;21;M;M;1824;EMP
059780004004-52;059780004004;100mN31696E41568;SF;NA;6;8;S;F;0614;NEP
059780004004-52;059780004004;100mN31696E41568;SF;NA;6;16;S;M;1517;NEP
059780004004-52;059780004004;100mN31696E41568;SF;NA;6;20;W;F;1824;EMP
059780004004-52;059780004004;100mN31696E41568;SF;NA;6;18;M;F;1824;NEP
059780004004-53;059780004004;100mN31684E41558;MC;NA;4;32;M;M;3039;EMP
059780004004-53;059780004004;100mN31684E41558;MC;NA;4;32;M;F;3039;EMP
059780004004-53;059780004004;100mN31684E41558;MC;NA;4;0;S;M;0003;NEP
059780004004-53;059780004004;100mN31684E41558;MC;NA;4;6;S;F;0614;NEP
059780004004-54;059780004004;100mN31684E41558;S;NA;1;78;M;M;75XX;EMP
059780004004-55;059780004004;100mN31705E41577;MC;NA;4;44;M;F;4049;NEP
