household_id;municipality_id;grid_id;HLA;HSC;HSI;age;FAM;SEX;AG2;EMP
055540024024-0;055540024024;100mN32271E41222;MC;OS;2;67;M;M;6574;EMP
055540024024-0;055540024024;100mN32271E41222;MC;OS;2;72;M;F;6574;EMP
055540024024-1;055540024024;100mN32270E41224;SF;MIX;4;71;M;F;6574;NEP
055540024024-1;055540024024;100mN32270E41224;SF;MIX;4;57;W;F;5064;EMP
055540024024-1;055540024024;100mN32270E41224;SF;MIX;4;8;S;M;0614;NEP
055540024024-1;055540024024;100mN32270E41224;SF;MIX;4;7;S;M;0614;NEP
055540024024-2;055540024024;100mN32290E41225;MC;MIX;4;66;S;F;6574;EMP
055540024024-2;055540024024;100mN32290E41225;MC;MIX;4;56;M;M;5064;EMP
055540024024-2;055540024024;100mN32290E41225;MC;MIX;4;50;M;F;5064;EMP
055540024024-2;055540024024;100mN32290E41225;MC;MIX;4;35;M;M;3039;NEP
055540024024-3;055540024024;100mN32288E41230;MC;NA;4;63;M;F;5064;NEP
055540024024-3;055540024024;100mN32288E41230;MC;NA;4;56;M;M;5064;EMP
055540024024-3;055540024024;100mN32288E41230;MC;NA;4;16;S;M;1517;EMP
055540024024-3;055540024024;100mN32288E41230;MC;NA;4;12;S;F;0614;NEP
055540024024-4;055540024024;100mN32288E41230;S;NA;1;82;M;M;75XX;NEP
055540024024-5;055540024024;100mN32270E41230;S;NA;1;66;S;F;6574;EMP
055540024024-6;055540024024;100mN32294E41226;S;NA;1;61;S;F;5064;EMP
055540024024-7;055540024024;100mN32265E41227;SF;NA;2;57;W;F;5064;EMP
055540024024-7;055540024024;100mN32265E41227;SF;NA;2;15;S;M;1517;EMP
055540024024-8;055540024024;100mN32270E41223;S;OS;1;77;S;F;75XX;EMP
055540024024-9;055540024024;100mN32288E41230;MC;NA;2;59;M;F;5064;EMP
055540024024-9;055540024024;100mN32288E41230;MC;NA;2;60;M;M;5064;EMP
055540024024-10;055540024024;100mN32288E41230;MC;OS;2;68;M;F;6574;NEP
055540024024-10;055540024024;100mN32288E41230;MC;OS;2;68;M;M;6574;EMP
055540024024-11;055540024024;100mN32288E41230;PO;NA;2;62;S;M;5064;EMP
055540024024-11;055540024024;100mN32288E41230;PO;NA;2;47;S;M;4049;NEP
055540024024-12;055540024024;100mN32288E41232;S;NA;1;45;M;M;4049;EMP
055540024024-13;055540024024;100mN32284E41230;MC;OS;2;68;M;M;6574;EMP
055540024024-13;055540024024;100mN32284E41230;MC;OS;2;66;M;F;6574;NEP
055540024024-14;055540024024;100mN32284E41230;SF;NA;4;26;S;F;2529;EMP
055540024024-14;055540024024;100mN32284E41230;SF;NA;4;0;S;F;0003;NEP
055540024024-14;055540024024;100mN32284E41230;SF;NA;4;0;S;F;0003;NEP
055540024024-14;055540024024;100mN32284E41230;SF;NA;4;1;S;M;0003;NEP
055540024024-15;055540024024;100mN32284E41230;SF;NA;4;26;S;F;2529;EMP
055540024024-15;055540024024;100mN32284E41230;SF;NA;4;0;S;F;0003;NEP
055540024024-15;055540024024;100mN32284E41230;SF;NA;4;0;S;F;0003;NEP
055540024024-15;055540024024;100mN32284E41230;SF;NA;4;1;S;M;0003;NEP
055540024024-16;055540024024;100mN32294E41228;MC;OS;4;79;M;M;75XX;NEP
055540024024-16;055540024024;100mN32294E41228;MC;OS;4;72;M;F;6574;EMP
055540024024-16;055540024024;100mN32294E41228;MC;OS;4;79;W;F;75XX;NEP
055540024024-16;055540024024;100mN32294E41228;MC;OS;4;65;W;F;6574;EMP
055540024024-17;055540024024;100mN32270E41236;PO;NA;5;36;S;M;3039;NEP
055540024024-17;055540024024;100mN32270E41236;PO;NA;5;27;S;F;2529;NEP
055540024024-17;055540024024;100mN32270E41236;PO;NA;5;20;M;M;1824;EMP
055540024024-17;055540024024;100mN32270E41236;PO;NA;5;11;S;M;0614;NEP
055540024024-17;055540024024;100mN32270E41236;PO;NA;5;19;W;M;1824;EMP
055540024024-18;055540024024;100mN32285E41234;MC;NA;2;57;M;M;5064;EMP
055540024024-18;055540024024;100mN32285E41234;MC;NA;2;54;M;F;5064;NEP
055540024024-19;055540024024;100mN32276E41238;NA;OS;2;51;S;M;5064;EMP
055540024024-19;055540024024;100mN32276E41238;NA;OS;2;31;W;F;3039;UEP
055540024024-20;055540024024;100mN32291E41232;PO;NA;4;37;S;M;3039;EMP
055540024024-20;055540024024;100mN32291E41232;PO;NA;4;45;S;M;4049;EMP
055540024024-20;055540024024;100mN32291E41232;PO;NA;4;20;S;F;1824;EMP
055540024024-20;055540024024;100mN32291E41232;PO;NA;4;3;S;F;0305;NEP
055540024024-21;055540024024;100mN32288E41227;MC;NA;6;41;M;M;4049;EMP
055540024024-21;055540024024;100mN32288E41227;MC;NA;6;41;M;F;4049;EMP
055540024024-21;055540024024;100mN32288E41227;MC;NA;6;11;S;F;0614;NEP
055540024024-21;055540024024;100mN32288E41227;MC;NA;6;10;S;M;0614;NEP
055540024024-21;055540024024;100mN32288E41227;MC;NA;6;3;S;M;0305;NEP
055540024024-21;055540024024;100mN32288E41227;MC;NA;6;16;S;F;1517;EMP
055540024024-22;055540024024;100mN32271E41223;S;OS;1;62;S;M;5064;NEP
055540024024-23;055540024024;100mN32331E41240;MC;MIX;3;68;M;F;6574;EMP
055540024024-23;055540024024;100mN32331E41240;MC;MIX;3;48;M;M;4049;EMP
055540024024-23;055540024024;100mN32331E41240;MC;MIX;3;55;M;F;5064;NEP
055540024024-24;055540024024;100mN32289E41229;MC;NA;2;50;M;M;5064;EMP
055540024024-24;055540024024;100mN32289E41229;MC;NA;2;43;M;F;4049;EMP
055540024024-25;055540024024;100mN32289E41225;MC;NA;3;45;M;M;4049;EMP
055540024024-25;055540024024;100mN32289E41225;MC;NA;3;45;M;F;4049;EMP
055540024024-25;055540024024;100mN32289E41225;MC;NA;3;6;S;M;0614;NEP
055540024024-26;055540024024;100mN32249E41209;MC;NA;2;46;M;F;4049;EMP
055540024024-26;055540024024;100mN32249E41209;MC;NA;2;52;M;M;5064;EMP
055540024024-27;055540024024;100mN32289E41241;MC;NA;5;46;M;F;4049;NEP
055540024024-27;055540024024;100mN32289E41241;MC;NA;5;38;M;M;3039;EMP
055540024024-27;055540024024;100mN32289E41241;MC;NA;5;23;M;F;1824;EMP
055540024024-27;055540024024;100mN32289E41241;MC;NA;5;7;S;F;0614;NEP
055540024024-27;055540024024;100mN32289E41241;MC;NA;5;3;S;M;0305;NEP
055540024024-28;055540024024;100mN32284E41234;MC;OS;4;73;M;M;6574;UEP
055540024024-28;055540024024;100mN32284E41234;MC;OS;4;66;M;F;6574;EMP
055540024024-28;055540024024;100mN32284E41234;MC;OS;4;69;M;F;6574;EMP
055540024024-28;055540024024;100mN32284E41234;MC;OS;4;71;S;M;6574;EMP
055540024024-29;055540024024;100mN32270E41229;MC;MIX;4;82;W;F;75XX;EMP
055540024024-29;055540024024;100mN32270E41229;MC;MIX;4;36;M;M;3039;NEP
055540024024-29;055540024024;100mN32270E41229;MC;MIX;4;34;M;F;3039;NEP
055540024024-29;055540024024;100mN32270E41229;MC;MIX;4;8;S;F;0614;NEP
055540024024-30;055540024024;100mN32287E41226;MC;NA;6;45;M;F;4049;EMP
055540024024-30;055540024024;100mN32287E41226;MC;NA;6;54;M;M;5064;EMP
055540024024-30;055540024024;100mN32287E41226;MC;NA;6;16;S;F;1517;EMP
055540024024-30;055540024024;100mN32287E41226;MC;NA;6;11;S;M;0614;NEP
055540024024-30;055540024024;100mN32287E41226;MC;NA;6;30;S;F;3039;NEP
055540024024-30;055540024024;100mN32287E41226;MC;NA;6;6;S;M;0614;NEP
055540024024-31;055540024024;100mN32290E41228;MC;NA;2;61;M;F;5064;NEP
055540024024-31;055540024024;100mN32290E41228;MC;NA;2;31;W;F;3039;EMP
055540024024-32;055540024024;100mN32264E41225;MC;NA;4;26;M;F;2529;EMP
055540024024-32;055540024024;100mN32264E41225;MC;NA;4;32;M;M;3039;EMP
055540024024-32;055540024024;100mN32264E41225;MC;NA;4;9;S;M;0614;NEP
055540024024-32;055540024024;100mN32264E41225;MC;NA;4;4;S;M;0305;NEP
055540024024-33;055540024024;100mN32270E41222;S;NA;1;67;S;M;6574;EMP
055540024024-34;055540024024;100mN32295E41225;MC;NA;3;61;M;M;5064;EMP
055540024024-34;055540024024;100mN32295E41225;MC;NA;3;63;M;F;5064;NEP
055540024024-34;055540024024;100mN32295E41225;MC;NA;3;12;S;M;0614;NEP
055540024024-35;055540024024;100mN32265E41230;S;NA;1;30;D;M;3039;EMP
055540024024-36;055540024024;100mN32264E41225;MC;NA;2;30;M;F;3039;NEP
055540024024-36;055540024024;100mN32264E41225;MC;NA;2;36;M;M;3039;EMP
055540024024-37;055540024024;100mN32269E41232;S;NA;1;41;S;M;4049;EMP
055540024024-38;055540024024;100mN32264E41225;SF;NA;2;18;W;F;1824;EMP
055540024024-38;055540024024;100mN32264E41225;SF;NA;2;1;S;M;0003;NEP
055540024024-39;055540024024;100mN32272E41231;SF;NA;4;42;S;F;4049;NEP
055540024024-39;055540024024;100mN32272E41231;SF;NA;4;27;S;F;2529;NEP
