household_id;municipality_id;grid_id;HLA;HSC;HSI;age;FAM;SEX;AG2;EMP
053580056056-0;053580056056;100mN30997E40729;S;NA;1;34;S;M;3039;UEP
053580056056-1;053580056056;100mN31052E40708;NA;OS;2;52;M;M;5064;EMP
053580056056-1;053580056056;100mN31052E40708;NA;OS;2;47;M;M;4049;EMP
053580056056-2;053580056056;100mN31054E40700;MC;NA;2;37;M;F;3039;NEP
053580056056-2;053580056056;100mN31054E40700;MC;NA;2;18;M;M;1824;NEP
053580056056-3;053580056056;100mN31061E40717;MC;NA;4;19;M;F;1824;EMP
053580056056-3;053580056056;100mN31061E40717;MC;NA;4;33;M;M;3039;NEP
053580056056-3;053580056056;100mN31061E40717;MC;NA;4;4;S;M;0305;NEP
053580056056-3;053580056056;100mN31061E40717;MC;NA;4;3;S;F;0305;NEP
053580056056-4;053580056056;100mN31057E40705;MC;MIX;4;76;S;M;75XX;EMP
053580056056-4;053580056056;100mN31057E40705;MC;MIX;4;40;M;F;4049;NEP
053580056056-4;053580056056;100mN31057E40705;MC;MIX;4;42;M;M;4049;EMP
053580056056-4;053580056056;100mN31057E40705;MC;MIX;4;25;S;M;2529;NEP
053580056056-5;053580056056;100mN31061E40717;NA;OS;2;44;M;F;4049;EMP
053580056056-5;053580056056;100mN31061E40717;NA;OS;2;55;M;M;5064;EMP
053580056056-6;053580056056;100mN31023E40692;S;NA;1;40;S;M;4049;EMP
053580056056-7;053580056056;100mN31028E40706;S;OS;1;42;W;F;4049;NEP
053580056056-8;053580056056;100mN31083E40720;MC;NA;2;47;M;M;4049;NEP
053580056056-8;053580056056;100mN31083E40720;MC;NA;2;38;M;F;3039;NEP
053580056056-9;053580056056;100mN31062E40716;S;NA;1;31;W;F;3039;NEP
053580056056-10;053580056056;100mN31061E40714;MC;NA;2;61;M;F;5064;EMP
053580056056-10;053580056056;100mN31061E40714;MC;NA;2;62;M;M;5064;EMP
053580056056-11;053580056056;100mN31061E40714;S;NA;1;45;M;M;4049;NEP
053580056056-12;053580056056;100mN31059E40716;SF;MIX;4;81;S;F;75XX;EMP
053580056056-12;053580056056;100mN31059E40716;SF;MIX;4;46;W;F;4049;EMP
053580056056-12;053580056056;100mN31059E40716;SF;MIX;4;16;S;F;1517;EMP
053580056056-12;053580056056;100mN31059E40716;SF;MIX;4;10;S;M;0614;NEP
053580056056-13;053580056056;100mN31053E40703;S;NA;1;43;S;F;4049;NEP
053580056056-14;053580056056;100mN31035E40706;MC;NA;5;34;M;F;3039;NEP
053580056056-14;053580056056;100mN31035E40706;MC;NA;5;43;M;M;4049;EMP
053580056056-14;053580056056;100mN31035E40706;MC;NA;5;11;S;F;0614;NEP
053580056056-14;053580056056;100mN31035E40706;MC;NA;5;1;S;M;0003;NEP
053580056056-14;053580056056;100mN31035E40706;MC;NA;5;19;D;M;1824;EMP
053580056056-15;053580056056;100mN31004E40728;S;NA;1;58;S;M;5064;EMP
053580056056-16;053580056056;100mN31005E40724;S;NA;1;25;W;F;2529;NEP
053580056056-17;053580056056;100mN31083E40720;SF;NA;2;54;D;F;5064;EMP
053580056056-17;053580056056;100mN31083E40720;SF;NA;2;16;S;M;1517;NEP
053580056056-18;053580056056;100mN31009E40724;SF;NA;4;86;S;F;75XX;EMP
053580056056-18;053580056056;100mN31009E40724;SF;NA;4;6;S;M;0614;NEP
053580056056-18;053580056056;100mN31009E40724;SF;NA;4;9;S;M;0614;NEP
053580056056-18;053580056056;100mN31009E40724;SF;NA;4;68;S;F;6574;NEP
053580056056-19;053580056056;100mN31035E40662;S;OS;1;60;W;F;5064;NEP
053580056056-20;053580056056;100mN31053E40703;MC;NA;2;63;M;M;5064;NEP
053580056056-20;053580056056;100mN31053E40703;MC;NA;2;27;S;F;2529;EMP
053580056056-21;053580056056;100mN31003E40726;PO;NA;3;63;S;M;5064;EMP
053580056056-21;053580056056;100mN31003E40726;PO;NA;3;50;W;F;5064;NEP
053580056056-21;053580056056;100mN31003E40726;PO;NA;3;15;S;F;1517;EMP
053580056056-22;053580056056;100mN31053E40703;S;NA;1;40;M;F;4049;NEP
053580056056-23;053580056056;100mN31055E40704;S;OS;1;55;M;M;5064;EMP
053580056056-24;053580056056;100mN31050E40701;MC;NA;4;34;M;M;3039;NEP
053580056056-24;053580056056;100mN31050E40701;MC;NA;4;18;M;F;1824;EMP
053580056056-24;053580056056;100mN31050E40701;MC;NA;4;0;S;M;0003;NEP
053580056056-24;053580056056;100mN31050E40701;MC;NA;4;8;S;F;0614;NEP
053580056056-25;053580056056;100mN31052E40707;MC;MIX;3;71;D;F;6574;NEP
053580056056-25;053580056056;100mN31052E40707;MC;MIX;3;33;M;F;3039;NEP
053580056056-25;053580056056;100mN31052E40707;MC;MIX;3;40;M;M;4049;EMP
053580056056-26;053580056056;100mN31055E40699;MC;NA;2;54;M;M;5064;EMP
053580056056-26;053580056056;100mN31055E40699;MC;NA;2;51;M;F;5064;EMP
053580056056-27;053580056056;100mN31002E40727;MC;NA;2;25;M;F;2529;EMP
053580056056-27;053580056056;100mN31002E40727;MC;NA;2;25;M;M;2529;NEP
053580056056-28;053580056056;100mN31053E40698;SF;NA;3;55;W;F;5064;EMP
053580056056-28;053580056056;100mN31053E40698;SF;NA;3;11;S;F;0614;NEP
053580056056-28;053580056056;100mN31053E40698;SF;NA;3;19;M;M;1824;NEP
053580056056-29;053580056056;100mN31032E40726;MC;NA;3;57;M;M;5064;EMP
053580056056-29;053580056056;100mN31032E40726;MC;NA;3;63;M;F;5064;EMP
053580056056-29;053580056056;100mN31032E40726;MC;NA;3;16;S;M;1517;NEP
053580056056-30;053580056056;100mN31059E40675;MC;NA;2;43;M;F;4049;EMP
053580056056-30;053580056056;100mN31059E40675;MC;NA;2;52;M;M;5064;EMP
053580056056-31;053580056056;100mN31053E40704;S;NA;1;44;M;F;4049;EMP
053580056056-32;053580056056;100mN31053E40704;S;NA;1;47;M;M;4049;NEP
053580056056-33;053580056056;100mN31033E40703;S;OS;1;21;S;M;1824;EMP
053580056056-34;053580056056;100mN31053E40704;MC;NA;2;40;M;F;4049;EMP
053580056056-34;053580056056;100mN31053E40704;MC;NA;2;31;M;M;3039;NEP
053580056056-35;053580056056;100mN31037E40679;S;NA;1;44;M;M;4049;NEP
