household_id;municipality_id;grid_id;HLA;HSC;HSI;age;FAM;SEX;AG2;EMP
057660024024-0;057660024024;100mN32163E42539;MC;NA;2;26;M;F;2529;NEP
057660024024-0;057660024024;100mN32163E42539;MC;NA;2;28;M;M;2529;EMP
057660024024-1;057660024024;100mN32156E42522;PO;NA;4;26;S;M;2529;EMP
057660024024-1;057660024024;100mN32156E42522;PO;NA;4;23;S;F;1824;EMP
057660024024-1;057660024024;100mN32156E42522;PO;NA;4;9;S;F;0614;NEP
057660024024-1;057660024024;100mN32156E42522;PO;NA;4;7;S;M;0614;NEP
057660024024-2;057660024024;100mN32148E42527;PO;NA;2;44;S;M;4049;NEP
057660024024-2;057660024024;100mN32148E42527;PO;NA;2;41;S;F;4049;NEP
057660024024-3;057660024024;100mN32129E42536;MC;OS;2;72;M;M;6574;EMP
057660024024-3;057660024024;100mN32129E42536;MC;OS;2;67;M;F;6574;NEP
057660024024-4;057660024024;100mN32126E42538;MC;NA;3;43;M;M;4049;EMP
057660024024-4;057660024024;100mN32126E42538;MC;NA;3;40;M;F;4049;NEP
057660024024-4;057660024024;100mN32126E42538;MC;NA;3;6;S;M;0614;NEP
057660024024-5;057660024024;100mN32129E42536;SF;NA;2;71;W;F;6574;EMP
057660024024-5;057660024024;100mN32129E42536;SF;NA;2;42;M;F;4049;NEP
057660024024-6;057660024024;100mN32129E42536;S;NA;1;56;M;M;5064;EMP
057660024024-7;057660024024;100mN32135E42560;MC;NA;4;53;M;F;5064;EMP
057660024024-7;057660024024;100mN32135E42560;MC;NA;4;53;M;M;5064;EMP
057660024024-7;057660024024;100mN32135E42560;MC;NA;4;7;S;F;0614;NEP
057660024024-7;057660024024;100mN32135E42560;MC;NA;4;12;S;F;0614;NEP
057660024024-8;057660024024;100mN32129E42536;MC;NA;3;44;M;F;4049;NEP
057660024024-8;057660024024;100mN32129E42536;MC;NA;3;48;M;M;4049;NEP
057660024024-8;057660024024;100mN32129E42536;MC;NA;3;6;S;F;0614;NEP
057660024024-9;057660024024;100mN32119E42549;MC;NA;4;42;M;F;4049;NEP
057660024024-9;057660024024;100mN32119E42549;MC;NA;4;45;M;M;4049;EMP
057660024024-9;057660024024;100mN32119E42549;MC;NA;4;16;S;F;1517;EMP
057660024024-9;057660024024;100mN32119E42549;MC;NA;4;20;M;M;1824;EMP
057660024024-10;057660024024;100mN32133E42530;MC;NA;2;45;M;F;4049;EMP
057660024024-10;057660024024;100mN32133E42530;MC;NA;2;51;M;M;5064;EMP
057660024024-11;057660024024;100mN32134E42528;MC;NA;2;42;M;F;4049;EMP
057660024024-11;057660024024;100mN32134E42528;MC;NA;2;43;M;M;4049;NEP
057660024024-12;057660024024;100mN32127E42562;S;NA;1;41;W;F;4049;EMP
057660024024-13;057660024024;100mN32129E42531;S;NA;1;38;W;M;3039;EMP
057660024024-14;057660024024;100mN32134E42528;SF;NA;2;33;D;F;3039;NEP
057660024024-14;057660024024;100mN32134E42528;SF;NA;2;13;S;M;0614;NEP
057660024024-15;057660024024;100mN32132E42529;S;NA;1;16;S;M;1517;NEP
057660024024-16;057660024024;100mN32112E42564;MC;NA;3;48;M;F;4049;EMP
057660024024-16;057660024024;100mN32112E42564;MC;NA;3;42;M;M;4049;EMP
057660024024-16;057660024024;100mN32112E42564;MC;NA;3;1;S;M;0003;NEP
057660024024-17;057660024024;100mN32128E42538;MC;NA;4;60;M;M;5064;EMP
057660024024-17;057660024024;100mN32128E42538;MC;NA;4;58;M;F;5064;NEP
057660024024-17;057660024024;100mN32128E42538;MC;NA;4;0;S;M;0003;NEP
057660024024-17;057660024024;100mN32128E42538;MC;NA;4;4;S;M;0305;NEP
057660024024-18;057660024024;100mN32142E42544;S;OS;1;30;M;M;3039;EMP
057660024024-19;057660024024;100mN32151E42527;MC;NA;3;46;M;F;4049;EMP
057660024024-19;057660024024;100mN32151E42527;MC;NA;3;52;M;M;5064;EMP
057660024024-19;057660024024;100mN32151E42527;MC;NA;3;30;S;M;3039;EMP
057660024024-20;057660024024;100mN32142E42544;PO;NA;2;46;S;F;4049;NEP
057660024024-20;057660024024;100mN32142E42544;PO;NA;2;47;S;F;4049;NEP
057660024024-21;057660024024;100mN32132E42514;S;NA;1;33;M;M;3039;EMP
057660024024-22;057660024024;100mN32131E42534;PO;NA;4;50;S;M;5064;EMP
057660024024-22;057660024024;100mN32131E42534;PO;NA;4;56;S;M;5064;EMP
057660024024-22;057660024024;100mN32131E42534;PO;NA;4;18;M;F;1824;NEP
057660024024-22;057660024024;100mN32131E42534;PO;NA;4;11;S;F;0614;NEP
057660024024-23;057660024024;100mN32142E42544;S;NA;1;81;S;F;75XX;EMP
057660024024-24;057660024024;100mN32141E42529;MC;NA;2;47;M;F;4049;EMP
057660024024-24;057660024024;100mN32141E42529;MC;NA;2;47;M;M;4049;EMP
057660024024-25;057660024024;100mN32132E42529;PO;NA;4;51;S;M;5064;NEP
057660024024-25;057660024024;100mN32132E42529;PO;NA;4;54;S;F;5064;NEP
057660024024-25;057660024024;100mN32132E42529;PO;NA;4;12;S;M;0614;NEP
057660024024-25;057660024024;100mN32132E42529;PO;NA;4;7;S;M;0614;NEP
057660024024-26;057660024024;100mN32132E42523;MC;NA;4;58;M;F;5064;NEP
057660024024-26;057660024024;100mN32132E42523;MC;NA;4;62;M;M;5064;EMP
057660024024-26;057660024024;100mN32132E42523;MC;NA;4;22;M;F;1824;EMP
057660024024-26;057660024024;100mN32132E42523;MC;NA;4;4;S;M;0305;NEP
057660024024-27;057660024024;100mN32132E42532;NA;NA;4;77;S;M;75XX;NEP
057660024024-27;057660024024;100mN32132E42532;NA;NA;4;16;S;F;1517;NEP
057660024024-27;057660024024;100mN32132E42532;NA;NA;4;41;M;F;4049;NEP
057660024024-27;057660024024;100mN32132E42532;NA;NA;4;75;M;M;75XX;NEP
057660024024-28;057660024024;100mN32112E42562;MC;MIX;2;72;M;M;6574;EMP
057660024024-28;057660024024;100mN32112E42562;MC;MIX;2;60;S;F;5064;EMP
057660024024-29;057660024024;100mN32135E42561;SM;NA;2;46;D;M;4049;EMP
057660024024-29;057660024024;100mN32135E42561;SM;NA;2;6;S;F;0614;NEP
057660024024-30;057660024024;100mN32125E42535;S;OS;1;22;D;F;1824;EMP
057660024024-31;057660024024;100mN32132E42532;MC;NA;3;22;M;M;1824;EMP
057660024024-31;057660024024;100mN32132E42532;MC;NA;3;19;M;F;1824;EMP
057660024024-31;057660024024;100mN32132E42532;MC;NA;3;3;S;F;0305;NEP
057660024024-32;057660024024;100mN32132E42532;MC;MIX;4;88;M;M;75XX;EMP
057660024024-32;057660024024;100mN32132E42532;MC;MIX;4;48;M;M;4049;EMP
057660024024-32;057660024024;100mN32132E42532;MC;MIX;4;40;M;F;4049;NEP
057660024024-32;057660024024;100mN32132E42532;MC;MIX;4;19;M;F;1824;EMP
057660024024-33;057660024024;100mN32134E42559;MC;NA;3;42;M;F;4049;NEP
057660024024-33;057660024024;100mN32134E42559;MC;NA;3;41;M;M;4049;EMP
057660024024-33;057660024024;100mN32134E42559;MC;NA;3;13;S;M;0614;NEP
057660024024-34;057660024024;100mN32130E42531;S;NA;1;27;W;F;2529;NEP
057660024024-35;057660024024;100mN32130E42538;MC;NA;2;33;M;M;3039;EMP
057660024024-35;057660024024;100mN32130E42538;MC;NA;2;31;M;F;3039;NEP
057660024024-36;057660024024;100mN32133E42528;SF;NA;3;38;D;F;3039;EMP
057660024024-36;057660024024;100mN32133E42528;SF;NA;3;21;S;F;1824;NEP
057660024024-36;057660024024;100mN32133E42528;SF;NA;3;11;S;M;0614;NEP
057660024024-37;057660024024;100mN32166E42511;S;NA;1;58;M;M;5064;NEP
057660024024-38;057660024024;100mN32132E42532;MC;NA;3;56;M;M;5064;EMP
057660024024-38;057660024024;100mN32132E42532;MC;NA;3;55;M;F;5064;EMP
057660024024-38;057660024024;100mN32132E42532;MC;NA;3;30;M;F;3039;NEP
057660024024-39;057660024024;100mN32162E42538;MC;OS;2;71;M;M;6574;NEP
057660024024-39;057660024024;100mN32162E42538;MC;OS;2;73;M;F;6574;NEP
057660024024-40;057660024024;100mN32132E42528;MC;OS;3;70;M;F;6574;NEP
057660024024-40;057660024024;100mN32132E42528;MC;OS;3;66;M;M;6574;EMP
057660024024-40;057660024024;100mN32132E42528;MC;OS;3;83;M;F;75XX;EMP
057660024024-41;057660024024;100mN32143E42515;MC;MIX;2;68;M;F;6574;EMP
057660024024-41;057660024024;100mN32143E42515;MC;MIX;2;60;M;M;5064;EMP
057660024024-42;057660024024;100mN32147E42531;MC;OS;5;89;M;F;75XX;EMP
