household_id;municipality_id;grid_id;HLA;HSC;HSI;age;FAM;SEX;AG2;EMP
057740012012-0;057740012012;100mN31702E42369;PO;NA;5;28;S;M;2529;EMP
057740012012-0;057740012012;100mN31702E42369;PO;NA;5;23;S;M;1824;EMP
057740012012-0;057740012012;100mN31702E42369;PO;NA;5;7;S;M;0614;NEP
057740012012-0;057740012012;100mN31702E42369;PO;NA;5;10;S;F;0614;NEP
057740012012-0;057740012012;100mN31702E42369;PO;NA;5;12;S;M;0614;NEP
057740012012-1;057740012012;100mN31727E42404;S;NA;1;86;S;F;75XX;EMP
057740012012-2;057740012012;100mN31717E42327;MC;OS;2;86;M;M;75XX;EMP
057740012012-2;057740012012;100mN31717E42327;MC;OS;2;85;M;F;75XX;EMP
057740012012-3;057740012012;100mN31716E42312;S;OS;1;72;D;F;6574;NEP
057740012012-4;057740012012;100mN31722E42325;MC;NA;2;44;M;F;4049;EMP
057740012012-4;057740012012;100mN31722E42325;MC;NA;2;41;M;M;4049;EMP
057740012012-5;057740012012;100mN31734E42326;MC;MIX;4;89;W;F;75XX;NEP
057740012012-5;057740012012;100mN31734E42326;MC;MIX;4;33;M;M;3039;NEP
057740012012-5;057740012012;100mN31734E42326;MC;MIX;4;33;M;F;3039;NEP
057740012012-5;057740012012;100mN31734E42326;MC;MIX;4;7;S;F;0614;NEP
057740012012-6;057740012012;100mN31692E42351;MC;NA;3;34;M;M;3039;NEP
057740012012-6;057740012012;100mN31692E42351;MC;NA;3;34;M;F;3039;EMP
057740012012-6;057740012012;100mN31692E42351;MC;NA;3;13;S;F;0614;NEP
057740012012-7;057740012012;100mN31727E42334;MC;OS;3;68;M;M;6574;EMP
057740012012-7;057740012012;100mN31727E42334;MC;OS;3;67;M;F;6574;NEP
057740012012-7;057740012012;100mN31727E42334;MC;OS;3;89;D;F;75XX;EMP
057740012012-8;057740012012;100mN31692E42351;S;NA;1;56;M;M;5064;NEP
057740012012-9;057740012012;100mN31731E42406;PO;NA;2;60;S;F;5064;EMP
057740012012-9;057740012012;100mN31731E42406;PO;NA;2;62;S;M;5064;EMP
057740012012-10;057740012012;100mN31731E42406;MC;NA;6;58;M;M;5064;NEP
057740012012-10;057740012012;100mN31731E42406;MC;NA;6;55;M;F;5064;EMP
057740012012-10;057740012012;100mN31731E42406;MC;NA;6;16;S;F;1517;NEP
057740012012-10;057740012012;100mN31731E42406;MC;NA;6;1;S;M;0003;NEP
057740012012-10;057740012012;100mN31731E42406;MC;NA;6;2;S;M;0003;NEP
057740012012-10;057740012012;100mN31731E42406;MC;NA;6;34;M;F;3039;NEP
057740012012-11;057740012012;100mN31724E42321;MC;NA;4;54;M;F;5064;NEP
057740012012-11;057740012012;100mN31724E42321;MC;NA;4;47;M;M;4049;EMP
057740012012-11;057740012012;100mN31724E42321;MC;NA;4;7;S;F;0614;NEP
057740012012-11;057740012012;100mN31724E42321;MC;NA;4;12;S;M;0614;NEP
057740012012-12;057740012012;100mN31740E42325;S;NA;1;41;W;F;4049;EMP
057740012012-13;057740012012;100mN31723E42307;MC;NA;2;37;M;M;3039;NEP
057740012012-13;057740012012;100mN31723E42307;MC;NA;2;34;M;F;3039;NEP
057740012012-14;057740012012;100mN31725E42333;MC;MIX;4;70;S;M;6574;EMP
057740012012-14;057740012012;100mN31725E42333;MC;MIX;4;21;M;F;1824;EMP
057740012012-14;057740012012;100mN31725E42333;MC;MIX;4;22;M;M;1824;EMP
